accreditation,city,clickUri,combined_program,degree_program,distance_learning,email,excerpt,institution,location,phone,state,title,uri,website,zip
,Normal,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=23637a84-085e-4ee3-ab54-84b81af413ff&efp=500&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"Normal, Alabama",,['Alabama'],Alabama A&M University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=23637a84-085e-4ee3-ab54-84b81af413ff&efp=500&site=ashacms&webcode=edfinddetail,,35762
,Boone,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=e3f14289-e869-419c-9a4b-fadb1232f5a1&efp=279&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"Boone, North Carolina",,['North Carolina'],Appalachian State University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=e3f14289-e869-419c-9a4b-fadb1232f5a1&efp=279&site=ashacms&webcode=edfinddetail,,28608
,State University,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1f01b8e3-1e50-4317-975a-3fe444174d66&efp=102&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"State University, Arkansas",,['Arkansas'],Arkansas State University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1f01b8e3-1e50-4317-975a-3fe444174d66&efp=102&site=ashacms&webcode=edfinddetail,,72467-0910
,Indianapolis,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=cdd5b257-3033-4741-b573-8993acd1744b&efp=459&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"Indianapolis, Indiana",,['Indiana'],Butler University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=cdd5b257-3033-4741-b573-8993acd1744b&efp=459&site=ashacms&webcode=edfinddetail,,46208
,Chico,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=90285357-7782-4909-a9e9-e201011a8da9&efp=220&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"Chico, California",,['California'],"California State University, Chico: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=90285357-7782-4909-a9e9-e201011a8da9&efp=220&site=ashacms&webcode=edfinddetail,,95929-0350
,Long Beach,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c92d1f64-ff08-453c-9e9a-fc050204b9e5&efp=84&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"Long Beach, California",,['California'],"California State University, Long Beach: Bachelor of Arts (BA)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c92d1f64-ff08-453c-9e9a-fc050204b9e5&efp=84&site=ashacms&webcode=edfinddetail,,90840-2501
,Mt Pleasant,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=74bfc284-e310-4e02-85dd-b3276023b886&efp=997&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"Mt Pleasant, Michigan",,['Michigan'],Central Michigan University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=74bfc284-e310-4e02-85dd-b3276023b886&efp=997&site=ashacms&webcode=edfinddetail,,48859
,Mt Pleasant,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=74bfc284-e310-4e02-85dd-b3276023b886&efp=998&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"Mt Pleasant, Michigan",,['Michigan'],Central Michigan University: Other bachelor’s degree with a major in the field of communication sciences and disorders (Other),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=74bfc284-e310-4e02-85dd-b3276023b886&efp=998&site=ashacms&webcode=edfinddetail,,48859
,Wooster,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=153a01f5-e543-40e9-9a59-f080c5bcc8fc&efp=45&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"Wooster, Ohio",,['Ohio'],College of Wooster: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=153a01f5-e543-40e9-9a59-f080c5bcc8fc&efp=45&site=ashacms&webcode=edfinddetail,,44691
,Flushing,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=e4e32bbd-06a5-49e0-9101-111da1dc176d&efp=680&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Program Accreditation Status ... Not Eligible for Accreditation ... Undergraduate, research doctoral, and post-entry level clinical degree programs are not eligible for accreditation by the Council...",,"Flushing, New York",,['New York'],"CUNY, Queens College: Bachelor of Arts (BA)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=e4e32bbd-06a5-49e0-9101-111da1dc176d&efp=680&site=ashacms&webcode=edfinddetail,,11367-1597
